code,name,start,latestPrice,latestMarket,minPrice,maxPrice,upPercent,downPercent,downDays,upDays
603399,吉翔股份,2012-08-24,5.96,30.42,3.25,23.8165,61,-86,1193,5
300312,邦讯技术,2012-05-08,6.42,20.54,2.71,38.8683,55,-93,1255,3
300278,华昌达,2011-12-16,4.51,26.93,2.63,26.2758,48,-90,1105,3
600198,大唐电信,1998-10-21,6.26,55.21,4.76,55.0,47,-91,1372,5
300140,中环装备,2010-11-12,6.36,27.17,4.19,60.9564,41,-93,1229,5
300345,华民股份,2012-08-01,4.24,18.71,2.8796,20.3943,35,-85,1309,5
600191,华资实业,1998-12-10,3.94,19.1,2.63,24.1697,35,-89,1252,5
603214,爱婴室,2018-03-30,24.25,34.58,17.51,53.1906,35,-67,662,5
600766,园城黄金,1996-10-28,4.54,10.17,3.14,21.5,34,-85,1152,4
603508,思维列控,2015-12-24,23.91,65.15,17.49,95.5574,33,-82,1150,5
