code,name,start,latestPrice,latestMarket,minPrice,maxPrice,lastPercent,upDays
600616,金枫酒业,1992-09-29,7.75,51.84,3.2238,17.0096,26,4
300863,卡倍亿,2020-08-24,97.2,53.68,61.48,168.0,20,1
601015,陕西黑猫,2014-11-05,8.95,145.86,2.4381,13.3244,17,2
300566,激智科技,2016-11-15,46.26,71.79,10.8744,48.45,14,1
300782,卓胜微,2019-06-18,591.92,1096.89,28.1195,700.0,10,1
600763,通策医疗,1996-10-30,240.4,770.81,9.3809,388.0,10,1
002549,凯美特气,2011-02-18,8.69,54.19,2.7271,13.9843,10,1
600433,冠豪高新,2003-06-19,6.15,78.18,2.903,23.531,10,1
300490,华自科技,2015-12-31,10.15,26.0,6.4365,33.5649,10,1
002410,广联达,2010-05-25,63.7,755.34,4.8264,91.35,10,1
